NODE_ID,NODE_TYPE,NODE_NAME,UPDATEDATE,lon,lat,gid,avg_speed
3850074900,101,부곡초등학교사거리,20230519,128.8009204,35.20643784,마라18ab90bb,30.43786127
3850075400,101,내덕동351,20230519,128.8177061,35.20664854,마라19bb90bb,14
3850076300,101,내덕동348,20230519,128.819719,35.20704868,마라20aa90bb,14
3850077900,101,풍유동435,20230519,128.8497053,35.20860755,마라22bb91aa,38.56358382
3850078900,101,월산부영1단지입구교차로,20230519,128.7997273,35.20970702,마라18ab91ab,
3850079500,101,칠산초교앞교차로,20230519,128.8514558,35.21015915,마라23aa91ab,
3850080800,101,흥동291,20230519,128.8525941,35.21202537,마라23aa91ba,80.10549133
3850082700,102,여여세라믹스판매장,20230519,128.8521807,35.21528596,마라23aa91bb,41.13121387
3850083100,101,농소교,20230519,128.8397856,35.21589432,마라21bb91bb,34.08526012
3850083400,104,농소교,20230519,128.8411103,35.21697876,마라22aa92aa,
3850083700,104,농소교,20230519,128.8419378,35.21765881,마라22aa92aa,
3850085300,101,예원산업앞교차로,20230519,128.8498075,35.22102443,마라22bb92ba,
3850086400,101,김해봉황초교앞교차로,20230519,128.8695775,35.2215516,마라24ba92ba,
3850087200,101,유천식당앞교차로,20230519,128.8671889,35.22183109,마라24ab92ba,32.11416185
3850088300,101,청호아트빌앞교차로,20230519,128.8642343,35.22218457,마라24aa92ba,35.56213873
3850089600,102,바위집,20230519,128.7319828,35.2228035,마라12aa92ba,27.12716763
3850091200,101,동아그린아파트입구교차로,20230519,128.8726151,35.2255707,마라24bb93aa,17.85910405
3850091700,101,금호타이어부산물류앞교차로,20230519,128.9186515,35.22654023,마라29aa93ab,
3850095000,101,젠투커피,20230519,128.869865,35.22975985,마라24ba93ba,17
3850095300,102,합동수산,20230519,128.8960539,35.22989762,마라27aa93ba,14
3850100800,101,외동초교앞교차로,20230519,128.8588343,35.2319534,마라23ba93bb,16.90693642
3850101600,104,원당교,20230519,128.8180078,35.23219431,마라19bb93bb,40.36054913
3850104900,101,어방조방낙지사거리,20230519,128.9050041,35.23332546,마라27bb94aa,
3850105700,101,임호중교앞교차로,20230519,128.8717738,35.233892,마라24bb94aa,
3850106100,101,남산전기앞교차로,20230519,128.9194948,35.23399429,마라29aa94aa,
3850110600,101,김해동부교회앞교차로,20230519,128.9194034,35.23571149,마라29aa94ab,
3850114500,101,한덕아파트앞교차로,20230519,128.8893299,35.2374155,마라26ab94ab,53.17586705
3850115900,104,청하,20230519,128.774416,35.2381064,마라15bb94ab,14
3850117200,101,동성휴먼빌리지,20230519,128.8818635,35.23860854,마라25ba94ba,20.43786127
3850120300,101,한일아파트앞교차로,20230519,128.91363,35.23963358,마라28ba94ba,36.04624277
3850122800,101,연지동부아파트앞교차로,20230519,128.871688,35.24074953,마라24bb94bb,
3850122900,101,롯데캐슬1차사거리,20230519,128.8848261,35.24084342,마라26aa94bb,
