충전소명,충전소 주소,대분류,소분류,충전소ID,충전기ID,충전기타입,충전용량,충전방식(단독_동시),충전기상태,상태정보수신일,마지막 충전시작일시,마지막 충전종료일시,충전중 충전시작일시,2023년 01월 충전횟수,2023년 01월 충전량,2023년 02월 충전횟수,2023년 02월 충전량,2023년 03월 충전횟수,2023년 03월 충전량,2023년 04월 충전횟수,2023년 04월 충전량,2023년 05월 충전횟수,2023년 05월 충전량,2023년 06월 충전횟수,2023년 06월 충전량,2023년 07월 충전횟수,2023년 07월 충전량,2023년 08월 충전횟수,2023년 08월 충전량,2023년 09월 충전횟수,2023년 09월 충전량,LAT,LON
김해하키경기장,경상남도 김해시 신어산길 44 ,교육문화시설,경기장,ME20C114,1,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:06,2023-10-30 9:41,2023-10-30 10:21,2023-10-30 14:48,139,3007.5,95,2033.91,168,4012.06,134,3090.67,81,1835.17,169,3286.3,165,3149.81,194,3859.47,179,3460.49,35.2563554530823,128.90737798071
김해문화의전당,경상남도 김해시 김해대로 2060 ,공공시설,지자체시설,ME20C115,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:05,2023-10-30 13:10,2023-10-30 13:50,,238,5880.75,217,5363.32,241,5601.59,175,3962.77,153,3666.42,140,3181.83,196,4612.28,241,5297.5,228,4989.23,35.2437338143222,128.869410782674
김해중소기업비즈니스센터,경상남도 김해시 주촌면 골든루트로 80-16 ,공공시설,지자체시설,ME20C116,1,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:05,2023-10-30 13:27,2023-10-30 14:03,2023-10-30 14:55,228,4172.7,208,4005.13,184,3737.15,145,3156.63,138,3072.55,179,3846.96,216,4364.88,207,4382.23,203,4198.65,35.2131905569009,128.831654432842
무척산 주차장,경상남도 김해시 생림면 생철리 201 ,주차시설,일반주차장,ME20C208,21,DC콤보,급속(200kW동시),동시,사용가능,2023-10-30 15:05,2023-10-26 16:00,2023-10-26 16:11,,0,0.0,0,0.0,0,0.0,13,183.59,15,271.93,11,302.81,21,613.09,27,482.27,23,327.66,35.3468755073718,128.854785944885
무척산 주차장,경상남도 김해시 생림면 생철리 201 ,주차시설,일반주차장,ME20C208,22,DC콤보,급속(200kW동시),동시,사용가능,2023-10-30 15:05,2023-10-29 13:07,2023-10-29 13:36,,0,0.0,0,0.0,0,0.0,32,674.2,29,770.2,31,853.41,36,982.25,49,1111.51,64,1604.8,35.3468755073718,128.854785944885
안동체육공원,경상남도 김해시 삼안로 112번길20-61 ,주차시설,공원주차장,ME20D102,91,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:41,2023-10-30 12:30,2023-10-30 13:10,,68,1333.24,46,832.24,64,1348.11,40,864.64,45,939.9,35,736.98,84,1962.38,94,2329.73,96,2458.59,35.2409211825247,128.921284679063
김해시민체육공원,경상남도 김해시 삼계로104-32 ,주차시설,공원주차장,ME20D103,91,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 15:06,2023-10-30 13:55,2023-10-30 14:35,,46,1071.63,2,38.51,86,1830.5,114,2880.6,107,2985.49,125,3730.08,138,4247.75,148,3824.85,166,4153.76,35.2588554138761,128.878706495063
국립용지봉자연휴양림,경상남도 김해시 대청동 산63-2 ,기타시설,야영장,ME21A149,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:49,2023-10-26 11:19,2023-10-26 11:39,,9,176.12,4,52.5,12,317.96,15,356.29,7,138.86,8,194.9,3,51.35,5,105.76,13,239.07,35.1891192213886,128.773933151791
김해의생명센터 주차장,경상남도 김해시 주촌면 소망길 88 ,주차시설,일반주차장,ME21A225,1,DC콤보,급속(100kW단독),단독,사용가능,2023-10-30 14:57,2023-10-30 14:17,2023-10-30 14:57,,120,2424.43,61,1451.68,70,1736.03,114,2199.34,127,2865.92,116,2813.44,110,2748.1,100,2371.81,84,1759.82,35.2153298848662,128.832727386218
김해의생명센터 주차장,경상남도 김해시 주촌면 소망길 88 ,주차시설,일반주차장,ME21A225,2,DC콤보,급속(100kW단독),단독,충전중,2023-10-30 15:06,2023-10-28 17:00,2023-10-28 17:25,2023-10-30 14:59,112,2445.23,132,2462.4,127,2596.41,121,2789.04,116,2597.02,113,2651.41,125,2683.11,84,2037.28,73,1799.53,35.2153298848662,128.832727386218
