gid,lon,lat
마라13ba99ab,128.7494733000,35.2834228500
마라13ba99ba,128.7495080000,35.2856765700
마라13ba99bb,128.7495426000,35.2879302800
마라13bb86ab,128.7504225000,35.1662000800
마라13bb86ba,128.7504570000,35.1684538400
마라13bb86bb,128.7504915000,35.1707076000
마라13bb87aa,128.7505260000,35.1729613600
마라13bb87ab,128.7505605000,35.1752151100
마라13bb87ba,128.7505951000,35.1774688700
마라13bb87bb,128.7506296000,35.1797226200
마라13bb88aa,128.7506641000,35.1819763800
마라13bb88ab,128.7506986000,35.1842301300
마라13bb88ba,128.7507332000,35.1864838800
마라13bb88bb,128.7507677000,35.1887376400
마라13bb89aa,128.7508023000,35.1909913900
마라13bb89ab,128.7508368000,35.1932451400
마라13bb89ba,128.7508714000,35.1954988900
마라13bb89bb,128.7509059000,35.1977526400
마라13bb90aa,128.7509405000,35.2000063800
마라13bb90ab,128.7509750000,35.2022601300
마라13bb90ba,128.7510096000,35.2045138700
마라13bb90bb,128.7510442000,35.2067676200
마라13bb91aa,128.7510787000,35.2090213600
마라13bb91ab,128.7511133000,35.2112751100
마라13bb91ba,128.7511479000,35.2135288500
마라13bb91bb,128.7511825000,35.2157825900
마라13bb92aa,128.7512171000,35.2180363300
마라13bb92ab,128.7512517000,35.2202900700
마라13bb92ba,128.7512863000,35.2225438100
마라13bb92bb,128.7513209000,35.2247975500
마라13bb93aa,128.7513555000,35.2270512800
마라13bb93ab,128.7513901000,35.2293050200
마라13bb93ba,128.7514247000,35.2315587600
마라13bb93bb,128.7514593000,35.2338124900
마라13bb94aa,128.7514939000,35.2360662200
마라13bb94ab,128.7515286000,35.2383199600
마라13bb94ba,128.7515632000,35.2405736900
마라13bb94bb,128.7515978000,35.2428274200
마라13bb95aa,128.7516325000,35.2450811500
마라13bb95ab,128.7516671000,35.2473348800
마라13bb95ba,128.7517017000,35.2495886100
마라13bb95bb,128.7517364000,35.2518423300
마라13bb96aa,128.7517710000,35.2540960600
마라13bb96ab,128.7518057000,35.2563497900
마라13bb96ba,128.7518404000,35.2586035100
마라13bb96bb,128.7518750000,35.2608572300
마라13bb97aa,128.7519097000,35.2631109600
마라13bb97ab,128.7519444000,35.2653646800
마라13bb97ba,128.7519790000,35.2676184000
마라13bb97bb,128.7520137000,35.2698721200
마라13bb98aa,128.7520484000,35.2721258400
마라13bb98ab,128.7520831000,35.2743795600
마라13bb98ba,128.7521178000,35.2766332800
마라13bb98bb,128.7521525000,35.2788870000
마라13bb99aa,128.7521872000,35.2811407100
마라13bb99ab,128.7522219000,35.2833944300
마라13bb99ba,128.7522566000,35.2856481400
마라13bb99bb,128.7522913000,35.2879018500
마라14aa86ab,128.7531671000,35.1661717100
마라14aa86ba,128.7532017000,35.1684254700
마라14aa86bb,128.7532362000,35.1706792300
마라14aa87aa,128.7532708000,35.1729329800
마라14aa87ab,128.7533054000,35.1751867400
마라14aa87ba,128.7533400000,35.1774404900
마라14aa87bb,128.7533746000,35.1796942500
마라14aa88aa,128.7534092000,35.1819480000
마라14aa88ab,128.7534438000,35.1842017500
마라14aa88ba,128.7534784000,35.1864555000
마라14aa88bb,128.7535131000,35.1887092500
마라14aa89aa,128.7535477000,35.1909630000
마라14aa89ab,128.7535823000,35.1932167400
마라14aa89ba,128.7536169000,35.1954704900
마라14aa89bb,128.7536516000,35.1977242400
마라14aa90aa,128.7536862000,35.1999779800
마라14aa90ab,128.7537208000,35.2022317300
마라14aa90ba,128.7537555000,35.2044854700
마라14aa90bb,128.7537901000,35.2067392100
마라14aa91aa,128.7538248000,35.2089929500
마라14aa91ab,128.7538594000,35.2112467000
마라14aa91ba,128.7538941000,35.2135004400
마라14aa91bb,128.7539287000,35.2157541700
마라14aa92aa,128.7539634000,35.2180079100
마라14aa92ab,128.7539981000,35.2202616500
마라14aa92ba,128.7540328000,35.2225153900
마라14aa92bb,128.7540674000,35.2247691200
마라14aa93aa,128.7541021000,35.2270228600
마라14aa93ab,128.7541368000,35.2292765900
