건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
16001,주차장,127619,2,128.8401406,35.20869177
16001,주차장,124718,2,128.8834841,35.23393281
16001,주차장,112091,2,128.8635231,35.22724406
2001,아파트,119771,2,128.883418,35.22694372
2001,아파트,119772,2,128.8839087,35.22698258
2001,아파트,119254,2,128.718557,35.30540394
2001,아파트,119255,2,128.7190506,35.30556364
2001,아파트,119256,2,128.7194533,35.30530429
2001,아파트,119253,2,128.7186089,35.30580184
2001,아파트,119257,2,128.7197098,35.30552664
2001,아파트,119258,2,128.7191438,35.30524357
16001,주차장,116411,2,128.8680337,35.2377076
2001,아파트,112100,2,128.7463286,35.30263183
2001,아파트,188040,2,128.8212826,35.18464198
2001,아파트,117431,2,128.8486309,35.32845367
2001,아파트,117432,2,128.8488727,35.3283971
2001,아파트,112099,2,128.7466554,35.30258785
16001,주차장,190578,2,128.842775,35.22831013
16001,주차장,190598,2,128.842675,35.22839928
2001,아파트,165718,2,128.8614226,35.2733396
2001,아파트,118021,2,128.7389202,35.30757076
2001,아파트,123462,2,128.8280996,35.16245077
2001,아파트,123464,2,128.8262702,35.16298531
2001,아파트,123466,2,128.8262753,35.16363103
2001,아파트,123461,2,128.8280368,35.16314171
2001,아파트,123469,2,128.8283635,35.16308895
2001,아파트,123468,2,128.8274611,35.16330683
2001,아파트,123465,2,128.8256003,35.16315962
2001,아파트,118032,2,128.9214245,35.23667499
16001,주차장,155878,2,128.9015323,35.28348277
2001,아파트,151298,2,128.8663274,35.24740378
2001,아파트,115180,2,128.8241474,35.20465246
2001,아파트,115181,2,128.8245858,35.2047144
2001,아파트,115182,2,128.8250706,35.2047862
2001,아파트,115183,2,128.8258149,35.2048937
2001,아파트,115184,2,128.8243142,35.20408717
2001,아파트,115185,2,128.8248879,35.20410403
2001,아파트,115186,2,128.8253178,35.2042889
2001,아파트,115187,2,128.8260153,35.20434984
2001,아파트,115188,2,128.8244812,35.20374324
2001,아파트,115189,2,128.825176,35.20359144
2001,아파트,115190,2,128.8253769,35.20385641
2001,아파트,115191,2,128.8261708,35.20400491
2001,아파트,115192,2,128.8261208,35.20363275
2001,아파트,126820,2,128.852313,35.23007958
2001,아파트,162458,2,128.8451205,35.23057059
2001,아파트,162499,2,128.8460675,35.23116604
2001,아파트,162500,2,128.845437,35.23062554
2001,아파트,162501,2,128.845762,35.23158182
2001,아파트,120346,2,128.7203533,35.31012665
2001,아파트,120347,2,128.7209267,35.31019602
2001,아파트,120348,2,128.7217333,35.31040065
15001,주유소,119405,2,128.8557283,35.27029322
15001,주유소,119406,2,128.8559318,35.27032407
15001,주유소,119404,2,128.8558553,35.27021376
16001,주차장,183578,2,128.7486522,35.31664193
2001,아파트,120451,2,128.8471614,35.23331074
2001,아파트,120452,2,128.8475191,35.23312418
2001,아파트,120453,2,128.8480174,35.23298222
2001,아파트,120454,2,128.8483392,35.23274256
2001,아파트,120455,2,128.8480139,35.23226878
2001,아파트,120456,2,128.8476819,35.23249781
2001,아파트,120457,2,128.846881,35.23286887
2001,아파트,120458,2,128.8465535,35.23239699
2001,아파트,120459,2,128.8468812,35.23216732
2001,아파트,120460,2,128.8473679,35.23204003
2001,아파트,120461,2,128.8471861,35.23165641
2001,아파트,120462,2,128.8467111,35.23164638
2001,아파트,120463,2,128.8462395,35.23193921
2001,아파트,115760,2,128.9065863,35.24604515
16001,주차장,188238,2,128.905323,35.24763083
16001,주차장,115284,2,128.9037681,35.25732936
2001,아파트,115331,2,128.8132737,35.17886027
2001,아파트,115332,2,128.8138161,35.17896359
2001,아파트,115333,2,128.8142264,35.17890797
2001,아파트,115334,2,128.8147254,35.17896564
2001,아파트,115335,2,128.8132814,35.17825401
2001,아파트,115336,2,128.8138374,35.17833725
2001,아파트,115337,2,128.8142784,35.1782599
2001,아파트,115338,2,128.8147779,35.17831671
2001,아파트,115339,2,128.8153598,35.1782091
2001,아파트,115340,2,128.8148367,35.17786752
2001,아파트,115341,2,128.813355,35.17852372
2001,아파트,115342,2,128.815269,35.17796634
2001,아파트,115343,2,128.814214,35.17852486
2001,아파트,115344,2,128.8131012,35.17858607
2001,아파트,115345,2,128.8151568,35.17873314
2001,아파트,115346,2,128.8151435,35.17853001
2001,아파트,131438,2,128.8209691,35.20018799
2001,아파트,115321,2,128.8851083,35.23616854
16001,주차장,125800,2,128.85324,35.22140767
16001,주차장,115777,2,128.8273117,35.21267393
16001,주차장,124100,2,128.9209868,35.22492355
2001,아파트,188188,2,128.8625753,35.27549147
16001,주차장,121517,2,128.8525136,35.18456124
2001,아파트,115418,2,128.8168641,35.20227284
2001,아파트,115419,2,128.8174297,35.20253909
2001,아파트,115420,2,128.817929,35.20271057
2001,아파트,115421,2,128.8181508,35.20238915
2001,아파트,115429,2,128.8191756,35.20229924
2001,아파트,115432,2,128.8190443,35.20264375
2001,아파트,115425,2,128.8193475,35.20193533
2001,아파트,115427,2,128.8200034,35.20221329
2001,아파트,115428,2,128.8198441,35.20258272
2001,아파트,115433,2,128.8195874,35.20300487
2001,아파트,115434,2,128.8187678,35.2031202
2001,아파트,115435,2,128.8191392,35.20307712
2001,아파트,115436,2,128.8193275,35.20329454
2001,아파트,121438,2,128.8160443,35.19624944
2001,아파트,121439,2,128.8156917,35.1959456
2001,아파트,121440,2,128.8165407,35.19607451
2001,아파트,121441,2,128.8164665,35.19555744
2001,아파트,121442,2,128.8160086,35.19549181
2001,아파트,121443,2,128.8170948,35.19504639
2001,아파트,121444,2,128.8164683,35.19509845
2001,아파트,121445,2,128.8169571,35.19558117
2001,아파트,188042,2,128.8231411,35.18363536
7107,병원,115943,2,128.8932209,35.23041356
15001,주유소,115945,2,128.7629441,35.27381812
16001,주차장,123205,2,128.881317,35.23283568
2001,아파트,123244,2,128.9281732,35.22483416
15001,주유소,169498,2,128.8821356,35.24367609
2001,아파트,120349,2,128.7222078,35.31062126
2001,아파트,120350,2,128.7202294,35.30949504
2001,아파트,120351,2,128.7210198,35.30952972
2001,아파트,120352,2,128.7218409,35.30969498
2001,아파트,120353,2,128.7224831,35.30996841
2001,아파트,120354,2,128.7201604,35.30886969
2001,아파트,120355,2,128.7209486,35.3088517
2001,아파트,120356,2,128.7218049,35.30877096
2001,아파트,120357,2,128.7224434,35.30907947
2001,아파트,120358,2,128.7230725,35.30943002
2001,아파트,116671,2,128.8766717,35.22529143
2001,아파트,116672,2,128.8767539,35.22495662
2001,아파트,116673,2,128.876837,35.2246055
2001,아파트,116674,2,128.8769131,35.22423396
2001,아파트,116675,2,128.8759726,35.2240349
2001,아파트,116676,2,128.8759365,35.22442867
2001,아파트,116677,2,128.875886,35.22483162
2001,아파트,116678,2,128.8758081,35.22519399
2001,아파트,116681,2,128.8768673,35.22525068
2001,아파트,116682,2,128.8757032,35.22465408
2001,아파트,120359,2,128.7200753,35.30807683
2001,아파트,120360,2,128.720881,35.30797015
2001,아파트,120361,2,128.7218089,35.3079584
2001,아파트,120362,2,128.7225921,35.30815057
2001,아파트,120363,2,128.723189,35.30857999
2001,아파트,126815,2,128.8518747,35.22916644
2001,아파트,126816,2,128.8517827,35.2296033
2001,아파트,126819,2,128.8521624,35.22938451
15001,주유소,177338,2,128.8638837,35.26401921
15001,주유소,177358,2,128.8641239,35.26362202
2001,아파트,117701,2,128.8173101,35.17896207
2001,아파트,117702,2,128.8179292,35.17912495
2001,아파트,117703,2,128.8185607,35.17926978
2001,아파트,117704,2,128.8179977,35.17887823
16001,주차장,127259,2,128.8245718,35.16510221
2001,아파트,180147,2,128.9107196,35.23833772
2001,아파트,180148,2,128.9114544,35.2384534
2001,아파트,180145,2,128.9105036,35.23736256
2001,아파트,180143,2,128.9112925,35.23740644
2001,아파트,180146,2,128.9104648,35.23780564
2001,아파트,180158,2,128.9120558,35.23857755
16001,주차장,120439,2,128.8013765,35.17675649
2001,아파트,120377,2,128.8280433,35.16705222
2001,아파트,120378,2,128.8285987,35.16654812
2001,아파트,120379,2,128.8290947,35.16606631
15001,주유소,116971,2,128.8717911,35.29405615
15001,주유소,116972,2,128.8716698,35.29432217
15001,주유소,116973,2,128.871563,35.29391412
2001,아파트,120364,2,128.7236825,35.30911135
16001,주차장,116686,2,128.7295845,35.31252189
2001,아파트,121260,2,128.8248369,35.16342905
2001,아파트,121259,2,128.8241159,35.16370646
2001,아파트,121263,2,128.8247162,35.16402338
2001,아파트,121264,2,128.8242032,35.16392742
2001,아파트,121261,2,128.8257412,35.16424188
2001,아파트,121262,2,128.8250931,35.16431307
2001,아파트,172438,2,128.8119213,35.19265508
2001,아파트,172439,2,128.8120778,35.19306078
2001,아파트,172458,2,128.8129045,35.19304498
2001,아파트,172478,2,128.8133335,35.19277148
2001,아파트,172518,2,128.8123783,35.19212748
16001,주차장,164118,2,128.868047,35.23722892
2001,아파트,118153,2,128.7399454,35.30333407
2001,아파트,118154,2,128.7395021,35.30329056
2001,아파트,118155,2,128.7401532,35.30363634
2001,아파트,118152,2,128.7395953,35.30388428
2001,아파트,118156,2,128.7402437,35.30381584
15001,주유소,122458,2,128.8665583,35.25492785
2001,아파트,162498,2,128.8456928,35.23134076
16001,주차장,191578,2,128.9962277,35.27688863
2001,아파트,136899,2,128.8368378,35.23059263
2001,아파트,136900,2,128.8362879,35.23078709
15001,주유소,126598,2,128.8522746,35.32475676
2001,아파트,121238,2,128.8268845,35.17018091
2001,아파트,121239,2,128.8263105,35.17070353
2001,아파트,121240,2,128.825437,35.17073887
2001,아파트,121242,2,128.8249136,35.16950228
2001,아파트,121243,2,128.8256715,35.16962376
2001,아파트,121244,2,128.8259455,35.16900068
2001,아파트,121245,2,128.826651,35.16953973
2001,아파트,121248,2,128.8263841,35.16890938
2001,아파트,121249,2,128.8266738,35.16914943
2001,아파트,121250,2,128.8258163,35.17027059
16001,주차장,128840,2,128.9360568,35.22817568
16001,주차장,128841,2,128.9367381,35.22800915
2001,아파트,130238,2,128.8620525,35.26841723
2001,아파트,188187,2,128.8627188,35.27564041
2001,아파트,188189,2,128.862547,35.27532153
2001,아파트,131798,2,128.7195436,35.302445
2001,아파트,131799,2,128.7203732,35.30339134
2001,아파트,188182,2,128.8619049,35.27581836
2001,아파트,188183,2,128.861937,35.27601344
2001,아파트,188185,2,128.862657,35.27567187
2001,아파트,188186,2,128.8627237,35.27576889
2001,아파트,188181,2,128.8616417,35.27598259
2001,아파트,188184,2,128.8623144,35.27565521
16001,주차장,132018,2,128.7725137,35.27258524
2001,아파트,120799,2,128.8367595,35.23681185
2001,아파트,120800,2,128.8359114,35.23684594
2001,아파트,120801,2,128.8351918,35.23681504
2001,아파트,120802,2,128.8373471,35.23615042
2001,아파트,120803,2,128.8368919,35.23599855
2001,아파트,120804,2,128.836155,35.23603635
2001,아파트,120805,2,128.8355824,35.23602325
2001,아파트,120806,2,128.8374015,35.23532332
2001,아파트,120807,2,128.8369438,35.23516795
2001,아파트,120808,2,128.8362335,35.23518632
2001,아파트,120809,2,128.8356446,35.23516201
2001,아파트,120810,2,128.8374564,35.23447483
2001,아파트,120798,2,128.8373563,35.23671105
2001,아파트,120811,2,128.8369761,35.23431506
2001,아파트,120812,2,128.8362867,35.23433355
2001,아파트,120813,2,128.8356999,35.23431257
2001,아파트,120814,2,128.8350879,35.23425603
2001,아파트,120815,2,128.8345031,35.23416885
2001,아파트,120816,2,128.837743,35.23483971
2001,아파트,120817,2,128.8364385,35.23349689
2001,아파트,120819,2,128.8358423,35.23348877
2001,아파트,120820,2,128.8351968,35.23344218
2001,아파트,120821,2,128.8345548,35.23342249
2001,아파트,120824,2,128.8365016,35.23273312
2001,아파트,120825,2,128.8358974,35.23264565
2001,아파트,120826,2,128.8352554,35.23257679
2001,아파트,120827,2,128.8346733,35.23251857
2001,아파트,120828,2,128.8365553,35.23189028
2001,아파트,120829,2,128.8359518,35.23180204
2001,아파트,120830,2,128.8353138,35.23175102
2001,아파트,120831,2,128.8347098,35.23157602
2001,아파트,120832,2,128.835779,35.23086273
2001,아파트,120833,2,128.8353958,35.23112316
15001,주유소,169158,2,128.8816068,35.22674386
2001,아파트,181718,2,128.8170673,35.21101607
2001,아파트,181658,2,128.8164426,35.21166646
2001,아파트,181758,2,128.8163731,35.21092398
2001,아파트,181618,2,128.8164448,35.21245173
2001,아파트,181778,2,128.8163322,35.21157089
2001,아파트,181818,2,128.8179423,35.2110996
2001,아파트,181798,2,128.8172448,35.21195367
2001,아파트,181838,2,128.8175494,35.21158071
2001,아파트,181858,2,128.8169793,35.21226596
2001,아파트,181738,2,128.8176303,35.21106267
2001,아파트,117914,2,128.9090081,35.2433223
2001,아파트,130298,2,128.8611257,35.26926936
2001,아파트,130318,2,128.862049,35.26816114
2001,아파트,130258,2,128.8617666,35.26891363
2001,아파트,130278,2,128.8616236,35.26931027
2001,아파트,151259,2,128.867275,35.24760826
2001,아파트,151260,2,128.8670697,35.24719285
2001,아파트,151358,2,128.8656154,35.24733608
2001,아파트,151378,2,128.8647919,35.24821461
2001,아파트,126814,2,128.8514244,35.2294157
2001,아파트,126817,2,128.8519084,35.22995093
16001,주차장,156998,2,128.8440494,35.21193755
16001,주차장,180938,2,128.876512,35.25900146
15001,주유소,169478,2,128.8818585,35.24374583
2001,아파트,165738,2,128.8608675,35.27332967
2001,아파트,165778,2,128.8603473,35.27337392
2001,아파트,165798,2,128.8601238,35.2737564
2001,아파트,165818,2,128.859977,35.27428076
2001,아파트,118014,2,128.7396566,35.30732824
2001,아파트,118015,2,128.7404318,35.30745289
2001,아파트,118016,2,128.7404003,35.30695978
2001,아파트,118017,2,128.7403244,35.30650878
2001,아파트,118018,2,128.7395672,35.30657843
16001,주차장,120600,2,128.7382085,35.31354674
2001,아파트,180142,2,128.9120021,35.23740768
2001,아파트,181678,2,128.817143,35.21171843
2001,아파트,181578,2,128.8156625,35.21109897
2001,아파트,181698,2,128.8164437,35.21102218
2001,아파트,181558,2,128.8156439,35.21172682
2001,아파트,181598,2,128.8156437,35.21245169
2001,아파트,181638,2,128.8155931,35.21311986
2001,아파트,118798,2,128.8857973,35.2393558
16001,주차장,124360,2,128.8290327,35.36673775
15001,주유소,119671,2,128.8882894,35.21608004
16001,주차장,118864,2,128.7256781,35.31214711
2001,아파트,118844,2,128.9050957,35.24295279
2001,아파트,1691,2,128.7384397,35.30559983
2001,아파트,1692,2,128.7383908,35.30511258
2001,아파트,1693,2,128.7383931,35.3045899
2001,아파트,1694,2,128.7383283,35.30410929
2001,아파트,1695,2,128.7400687,35.30544914
2001,아파트,1696,2,128.7400121,35.30496115
2001,아파트,1697,2,128.7399063,35.30450343
