gid,주차장,경도,위도,건물1,건물2,건물3,관공서,경제인구,전기차,충전소,차량속도,입지총점,총점순위
마라27ba94bb,0.0,128.9026856,35.24117041,0.2582781456953642,0.16,0.0,0.0,0.2677528435290501,0.0,-0.0,-0.0,0.6860309892244143,234
마라24aa93bb,0.0,128.8640771,35.23259556,0.06622516556291391,0.48,0.0,0.0,0.612050415001537,0.0,-0.0,-0.472772158,0.685503422564451,235
마마22ab05aa,0.0,128.8465284,35.33422414,0.2251655629139073,0.08,0.0,0.375,0.003996311097448509,0.0,-0.0,-0.0,0.6841618740113558,236
마라27bb94bb,0.0,128.9054326,35.24113854,0.41721854304635764,0.24,0.0,0.0,0.026437134952351674,0.0,-0.0,-0.0,0.6836556779987093,237
마마12ab01bb,0.0,128.7360733,35.30610128,0.2052980132450331,0.0,0.4,0.375,0.07070396557024285,0.0,-0.0,-0.3690582851666666,0.6819436936486094,238
마라21ab86ab,0.0,128.8327582,35.16532211,0.006622516556291391,0.0,0.0,0.0,0.003996311097448509,0.6709844559585493,-0.0,-0.0,0.6816032836122892,239
마라26bb93bb,0.0,128.8942905,35.23225124,0.271523178807947,0.16,0.0,0.0,0.24592683676606208,0.0,-0.0,-0.0,0.6774500155740091,240
마라24aa98ba,0.0,128.8647948,35.27541443,0.006622516556291391,0.36,0.0,0.0,0.30494927758991697,0.0,-0.0,-0.0,0.6715717941462083,241
마라21aa86aa,0.0,128.8299771,35.16309859,0.006622516556291391,0.28,0.0,0.0,0.3827236397171841,0.0,-0.0,-0.0,0.6693461562734755,242
마라24ba93ba,0.0,128.8695326,35.23027989,0.1456953642384106,0.16,0.2,0.0,0.1620043037196434,0.0,-0.0,-0.0,0.6676996679580539,243
마라19aa87aa,0.0,128.8081662,35.1723525,0.059602649006622516,0.16,0.0,0.375,0.24316015985244388,0.0,-0.0,-0.17135717725,0.6664056316090664,244
마라20ab86bb,0.0,128.8218533,35.1699498,0.033112582781456956,0.32,0.0,0.0,0.312941899784814,0.0,-0.0,-0.0,0.666054482566271,245
마라25aa94ab,0.0,128.87514,35.23697847,0.019867549668874173,0.52,0.0,0.0,0.12542268675069165,0.0,-0.0,-0.0,0.6652902364195659,246
