gid,건물1,건물2,건물3,행정기관,도서관,주차구획수_sum,경제인구,전기차와충전소_전처리_결과_전기차,전기차와충전소_전처리_결과_충전소,김해_차량평균속도_avg_speed
마라11aa99ab,3,0,0,0,0,,,0,0,
마라11aa99ba,45,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라11aa99bb,7,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라11ab91ab,0,0,0,0,0,,,0,0,
마라11ab91ba,0,0,0,0,0,,,0,0,
마라11ab91bb,0,0,0,0,0,,,0,0,
마라11ab92aa,0,0,0,0,0,,,0,0,
마라11ab92ab,0,0,0,0,0,,,0,0,
마라11ab92ba,0,0,0,0,0,,,0,0,
마라11ab92bb,0,0,0,0,0,,,0,0,
마라11ab93aa,0,0,0,0,0,,,0,0,
마라11ab93ab,0,0,0,0,0,,,0,0,
마라11ab93ba,0,0,0,0,0,,,0,0,
마라11ab93bb,0,0,0,0,0,,,0,0,
마라11ab94aa,0,0,0,0,0,,,0,0,
마라11ab94ab,0,0,0,0,0,,,0,0,
마라11ab94ba,0,0,0,0,0,,,0,0,
마라11ab94bb,0,0,0,0,0,,,0,0,
마라11ab95aa,0,0,0,0,0,,,0,0,
마라11ab95ab,0,0,0,0,0,,,0,0,
마라11ab95ba,0,0,0,0,0,,,0,0,
마라11ab95bb,0,0,0,0,0,,,0,0,
마라11ab96aa,0,0,0,0,0,,,0,0,
마라11ab96ab,0,0,0,0,0,,,0,0,
마라11ab96ba,0,0,0,0,0,,,0,0,
마라11ab96bb,0,0,0,0,0,,,0,0,
마라11ab97aa,0,0,0,0,0,,,0,0,
마라11ab97ab,0,0,0,0,0,,,0,0,
마라11ab97ba,0,0,0,0,0,,,0,0,
마라11ab97bb,1,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라11ab98aa,0,0,0,0,0,,,0,0,
마라11ab98ab,0,0,0,0,0,,,0,0,
마라11ab98ba,0,0,0,0,0,,,0,0,
마라11ab98bb,14,0,0,0,0,,0.0000000000000000000000000000000,0,0,17.907514450000001
마라11ab99aa,27,0,0,0,0,,,0,0,
마라11ab99ab,12,0,0,0,0,,,0,0,
마라11ab99ba,27,0,0,0,0,,,0,0,
마라11ab99bb,0,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라11ba90bb,0,0,0,0,0,,,0,0,
마라11ba91aa,0,0,0,0,0,,,0,0,
마라11ba91ab,0,0,0,0,0,,,0,0,
마라11ba91ba,0,0,0,0,0,,,0,0,
마라11ba91bb,0,0,0,0,0,,,0,0,
마라11ba92aa,0,0,0,0,0,,,0,0,
마라11ba92ab,0,0,0,0,0,,,0,0,
마라11ba92ba,0,0,0,0,0,,,0,0,
마라11ba92bb,0,0,0,0,0,,,0,0,
마라11ba93aa,0,0,0,0,0,,,0,0,
마라11ba93ab,0,0,0,0,0,,,0,0,
마라11ba93ba,0,0,0,0,0,,,0,0,
마라11ba93bb,0,0,0,0,0,,,0,0,
마라11ba94aa,0,0,0,0,0,,,0,0,
마라11ba94ab,0,0,0,0,0,,,0,0,
마라11ba94ba,0,0,0,0,0,,,0,0,
마라11ba94bb,0,0,0,0,0,,,0,0,
마라11ba95aa,0,0,0,0,0,,,0,0,
마라11ba95ab,0,0,0,0,0,,,0,0,
마라11ba95ba,0,0,0,0,0,,,0,0,
마라11ba95bb,0,0,0,0,0,,,0,0,
마라11ba96aa,0,0,0,0,0,,,0,0,
마라11ba96ab,0,0,0,0,0,,,0,0,
마라11ba96ba,0,0,0,0,0,,,0,0,
마라11ba96bb,0,0,0,0,0,,,0,0,
마라11ba97aa,0,0,0,0,0,,,0,0,
마라11ba97ab,0,0,0,0,0,,,0,0,
마라11ba97ba,0,0,0,0,0,,,0,0,
마라11ba97bb,0,0,0,0,0,,,0,0,
마라11ba98aa,0,0,0,0,0,,,0,0,
마라11ba98ab,0,0,0,0,0,,,0,0,
마라11ba98ba,4,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라11ba98bb,5,0,0,0,0,,11.0000000000000000000000000000000,0,0,10.689306360000000
마라11ba99aa,25,0,0,0,0,,,0,0,
마라11ba99ab,10,0,0,0,0,,,0,0,
마라11ba99ba,49,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라11ba99bb,17,0,0,0,0,,7.0000000000000008881784197001252,0,0,34.000000000000000
마라11bb90bb,0,0,0,0,0,,,0,0,
마라11bb91aa,0,0,0,0,0,,,0,0,
마라11bb91ab,0,0,0,0,0,,,0,0,
마라11bb91ba,0,0,0,0,0,,,0,0,
마라11bb91bb,0,0,0,0,0,,,0,0,
마라11bb92aa,0,0,0,0,0,,,0,0,
마라11bb92ab,1,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라11bb92ba,4,0,0,0,0,,8.0000000000000000000000000000000,0,0,
마라11bb92bb,0,0,0,0,0,,,0,0,
마라11bb93aa,0,0,0,0,0,,,0,0,
마라11bb93ab,0,0,0,0,0,,,0,0,
마라11bb93ba,0,0,0,0,0,,,0,0,
마라11bb93bb,0,0,0,0,0,,,0,0,
마라11bb94aa,0,0,0,0,0,,,0,0,
마라11bb94ab,0,0,0,0,0,,,0,0,
마라11bb94ba,0,0,0,0,0,,,0,0,
마라11bb94bb,0,0,0,0,0,,,0,0,
마라11bb95aa,0,0,0,0,0,,,0,0,
마라11bb95ab,0,0,0,0,0,,,0,0,
마라11bb95ba,0,0,0,0,0,,,0,0,
마라11bb95bb,0,0,0,0,0,,,0,0,
마라11bb96aa,2,0,0,0,0,,,0,0,
마라11bb96ab,0,0,0,0,0,,,0,0,
마라11bb96ba,0,0,0,0,0,,,0,0,
마라11bb96bb,0,0,0,0,0,,,0,0,
마라11bb97aa,0,0,0,0,0,,,0,0,
마라11bb97ab,0,0,0,0,0,,,0,0,
마라11bb97ba,0,0,0,0,0,,,0,0,
마라11bb97bb,0,0,0,0,0,,,0,0,
마라11bb98aa,0,0,0,0,0,,,0,0,
마라11bb98ab,0,0,0,0,0,,,0,0,
마라11bb98ba,0,0,0,0,0,,11.0000000000000000000000000000000,0,0,
마라11bb98bb,12,0,0,0,0,,,0,0,
마라11bb99aa,7,0,0,0,0,,,0,0,
마라11bb99ab,0,0,0,0,0,,,0,0,
마라11bb99ba,18,0,0,0,0,,,0,0,
마라11bb99bb,29,0,0,0,0,,9.9999999999999982236431605997495,0,0,
마라12aa90ba,0,0,0,0,0,,,0,0,
마라12aa90bb,0,0,0,0,0,,,0,0,
마라12aa91aa,0,0,0,0,0,,,0,0,
마라12aa91ab,0,0,0,0,0,,,0,0,
마라12aa91ba,0,0,0,0,0,,,0,0,
마라12aa91bb,0,0,0,0,0,,,0,0,
마라12aa92aa,0,0,0,0,0,,,0,0,
마라12aa92ab,9,0,0,0,0,,11.0000000000000000000000000000000,0,0,
마라12aa92ba,21,0,0,0,0,,8.0000000000000000000000000000000,0,0,27.127167629999999
마라12aa92bb,0,0,0,0,0,,,0,0,
마라12aa93aa,0,0,0,0,0,,,0,0,
마라12aa93ab,0,0,0,0,0,,,0,0,
마라12aa93ba,0,0,0,0,0,,,0,0,
마라12aa93bb,0,0,0,0,0,,,0,0,
마라12aa94aa,0,0,0,0,0,,,0,0,
마라12aa94ab,0,0,0,0,0,,,0,0,
마라12aa94ba,1,0,0,0,0,,,0,0,
마라12aa94bb,0,0,0,0,0,,,0,0,
마라12aa95aa,0,0,0,0,0,,,0,0,
마라12aa95ab,0,0,0,0,0,,,0,0,
마라12aa95ba,0,0,0,0,0,,,0,0,
마라12aa95bb,0,0,0,0,0,,,0,0,
마라12aa96aa,0,0,0,0,0,,,0,0,
마라12aa96ab,0,0,0,0,0,,,0,0,
마라12aa96ba,0,0,0,0,0,,,0,0,
마라12aa96bb,0,0,0,0,0,,,0,0,
마라12aa97aa,0,0,0,0,0,,,0,0,
마라12aa97ab,0,0,0,0,0,,,0,0,
마라12aa97ba,0,0,0,0,0,,,0,0,
마라12aa97bb,0,0,0,0,0,,,0,0,
마라12aa98aa,0,0,0,0,0,,,0,0,
마라12aa98ab,0,0,0,0,0,,,0,0,
마라12aa98ba,0,0,0,0,0,,,0,0,
마라12aa98bb,3,0,0,0,0,,,0,0,
마라12aa99aa,0,0,0,0,0,,,0,0,
마라12aa99ab,0,0,0,0,0,,,0,0,
마라12aa99ba,4,0,0,0,0,,0.0000000000000000000000000000000,0,0,
마라12aa99bb,25,0,0,0,0,,19.9999999999999964472863211994991,0,0,
마라12ab90ba,0,0,0,0,0,,,0,0,
마라12ab90bb,0,0,0,0,0,,,0,0,
마라12ab91aa,0,0,0,0,0,,,0,0,
마라12ab91ab,0,0,0,0,0,,,0,0,
마라12ab91ba,0,0,0,0,0,,,0,0,
마라12ab91bb,0,0,0,0,0,,,0,0,
마라12ab92aa,0,0,0,0,0,,,0,0,
마라12ab92ab,0,0,0,0,0,,,0,0,
마라12ab92ba,1,0,0,0,0,,,0,0,
