건물용도코드,건물종류,건물일련번호,가점척도,경도,위도
3199,기타공공시설,118853,1,128.7228635,35.32018019
13100,일반공장,115780,1,128.7657161,35.26562878
13100,일반공장,115781,1,128.766098,35.26570723
13100,일반공장,115910,1,128.7691133,35.27229604
13100,일반공장,115911,1,128.7691442,35.27257616
13100,일반공장,115912,1,128.7694829,35.27215009
14001,창고,119956,1,128.8188406,35.21334244
13100,일반공장,192118,1,128.993818,35.27926009
13100,일반공장,192138,1,128.9937026,35.27945035
14999,기타창고시설,192158,1,129.0017666,35.27385376
14999,기타창고시설,192159,1,129.0011635,35.27253639
4005,제조업소,170878,1,128.808664,35.21854029
3999,기타제1종근생,120163,1,128.8764768,35.22600112
4005,제조업소,115144,1,128.7222763,35.28644995
4402,사무소,115145,1,128.7223475,35.2863028
13100,일반공장,116235,1,128.7709349,35.27670437
13100,일반공장,116236,1,128.7712278,35.27701977
13100,일반공장,116237,1,128.7709417,35.27695133
14999,기타창고시설,156519,1,128.8894855,35.24772141
3001,소매점,122599,1,128.7656582,35.267034
4001,일반음식점,139998,1,128.8479128,35.22189288
14001,창고,140038,1,128.843997,35.21228432
14001,창고,140058,1,128.8446635,35.19767767
14001,창고,140078,1,128.8445403,35.19756483
14001,창고,115150,1,128.7921963,35.33634833
13100,일반공장,115148,1,128.7706275,35.27701705
13100,일반공장,115149,1,128.7709915,35.27722535
4005,제조업소,119965,1,128.8447591,35.1980968
4999,기타제2종근생,117131,1,128.8957491,35.26511459
4999,기타제2종근생,117132,1,128.896107,35.26505884
4005,제조업소,119008,1,128.8528243,35.20848665
4001,일반음식점,127558,1,128.9248227,35.22839963
4999,기타제2종근생,127624,1,128.8241071,35.17182366
14999,기타창고시설,156658,1,128.9598093,35.31016768
13100,일반공장,156659,1,128.8370325,35.22499768
13100,일반공장,156660,1,128.8372657,35.22491019
4006,수리점,115151,1,128.8783305,35.24154967
4006,수리점,115152,1,128.8783655,35.24163139
3001,소매점,117174,1,128.8695981,35.22969823
4005,제조업소,121324,1,128.8166942,35.30169802
13100,일반공장,119057,1,128.7683461,35.27260443
13100,일반공장,119058,1,128.7686338,35.2723752
13100,일반공장,119059,1,128.7680723,35.27265279
13100,일반공장,187298,1,129.0028458,35.27485148
13100,일반공장,187299,1,129.0026978,35.27504928
3001,소매점,117573,1,128.9622512,35.23123274
4002,휴게음식점,127192,1,128.8000108,35.1900284
4005,제조업소,115754,1,128.7805679,35.26329925
4005,제조업소,115755,1,128.7803816,35.2634176
4010,학원,115811,1,128.804044,35.18769666
13100,일반공장,143618,1,128.8280841,35.25609026
13100,일반공장,143619,1,128.8274908,35.25678542
13100,일반공장,143638,1,128.8276497,35.25663515
13100,일반공장,143658,1,128.8272196,35.25658874
4402,사무소,152258,1,128.8511016,35.17700354
14999,기타창고시설,152418,1,128.8792325,35.2327369
3999,기타제1종근생,152419,1,128.8793721,35.23272393
14999,기타창고시설,152438,1,128.904685,35.22011813
4001,일반음식점,124259,1,128.8255049,35.17319779
4402,사무소,190098,1,128.889059,35.23347406
14001,창고,157798,1,128.80811,35.22465208
4402,사무소,113357,1,128.9189907,35.23045208
14001,창고,142998,1,128.9668268,35.23628688
14001,창고,142979,1,128.8431049,35.18986279
14001,창고,143062,1,128.9397171,35.22932877
4001,일반음식점,119713,1,128.8811478,35.22467097
3001,소매점,115157,1,128.7371913,35.31353484
3001,소매점,116752,1,128.8364278,35.20199141
3001,소매점,115989,1,128.8865661,35.29740096
4006,수리점,123458,1,128.9041271,35.2371146
3001,소매점,132118,1,128.8652122,35.20489323
4005,제조업소,176820,1,128.7759823,35.25804092
3001,소매점,121647,1,128.7495649,35.30070467
3001,소매점,131078,1,128.8365071,35.23832927
4999,기타제2종근생,131059,1,128.8089968,35.17806602
13100,일반공장,121611,1,128.8797056,35.23608421
4999,기타제2종근생,115154,1,128.8258754,35.30635421
4999,기타제2종근생,133384,1,128.878064,35.22546859
3999,기타제1종근생,133385,1,128.88096,35.2258092
7199,기타병원,133386,1,128.9226667,35.22998269
13100,일반공장,141218,1,128.7729256,35.26920182
13100,일반공장,141238,1,128.7728861,35.2690104
4402,사무소,123730,1,128.8774135,35.23156835
11101,호텔,134518,1,128.8283749,35.21252156
4005,제조업소,164938,1,128.8491856,35.20189549
27999,기타발전시설,125922,1,128.8055483,35.33021273
11199,기타일반숙박시설,119831,1,128.8233177,35.18152682
3001,소매점,119475,1,128.8298505,35.21258294
4001,일반음식점,119474,1,128.8297828,35.21244136
13100,일반공장,119527,1,128.8449583,35.2987272
3001,소매점,127418,1,128.7679897,35.24646782
13100,일반공장,119528,1,128.8448815,35.29843496
13100,일반공장,119529,1,128.844683,35.29869749
27999,기타발전시설,126060,1,128.9077168,35.36068923
4001,일반음식점,158478,1,128.8257712,35.17433861
13100,일반공장,115169,1,128.7734037,35.27985485
13100,일반공장,115170,1,128.773509,35.27958156
3001,소매점,138318,1,128.8387418,35.23401159
4005,제조업소,115158,1,128.8423735,35.1958498
13100,일반공장,134698,1,128.8134544,35.21719439
13100,일반공장,134678,1,128.8135234,35.21757751
13100,일반공장,187339,1,128.9853825,35.27524675
13100,일반공장,187340,1,128.9853607,35.27546315
4001,일반음식점,119664,1,128.8716683,35.31276382
4006,수리점,119665,1,128.8718039,35.31264858
3001,소매점,115752,1,128.7325755,35.30677632
13100,일반공장,115773,1,128.9011769,35.29086068
3001,소매점,168918,1,128.8446683,35.21111788
3999,기타제1종근생,119244,1,128.8436212,35.17856964
4005,제조업소,176818,1,128.7313688,35.28556052
13100,일반공장,113361,1,128.887168,35.29490413
13100,일반공장,113360,1,128.8870673,35.29475299
13100,일반공장,119132,1,128.7560791,35.32055277
13100,일반공장,119133,1,128.756205,35.32110808
4005,제조업소,159458,1,128.7768721,35.25847001
4005,제조업소,159498,1,128.7596705,35.29027777
13100,일반공장,138838,1,128.7940204,35.29090062
13100,일반공장,138858,1,128.7943088,35.29083333
13100,일반공장,138878,1,128.7936253,35.29117207
4001,일반음식점,145898,1,128.8421943,35.23208771
4002,휴게음식점,129218,1,128.7757993,35.18415192
3001,소매점,115164,1,128.789296,35.31123687
14001,창고,121380,1,128.7974668,35.32494493
3001,소매점,120475,1,128.7875062,35.22154943
13100,일반공장,131720,1,128.8124154,35.21361645
3001,소매점,115165,1,128.7890665,35.31103384
3001,소매점,115166,1,128.7891404,35.31104027
3001,소매점,115167,1,128.7892744,35.31107116
3001,소매점,115168,1,128.7893297,35.31108257
3001,소매점,119479,1,128.8293095,35.23801545
5403,체육관,152738,1,128.8366706,35.2521119
3007,마을공동시설,119779,1,128.7282571,35.27804779
14999,기타창고시설,121738,1,128.9497422,35.2291765
3001,소매점,117295,1,129.0002851,35.258285
13100,일반공장,117296,1,128.7729682,35.28184784
13100,일반공장,117297,1,128.7730846,35.28206098
13100,일반공장,117298,1,128.772808,35.28200741
4402,사무소,120515,1,128.8659,35.25872837
14999,기타창고시설,127679,1,128.7910401,35.31151094
13100,일반공장,132439,1,128.7777627,35.32694672
13100,일반공장,153598,1,128.8375707,35.2246292
13100,일반공장,115913,1,128.8187577,35.22632591
13100,일반공장,115914,1,128.8189376,35.22625374
3001,소매점,118571,1,128.8449432,35.22200338
4999,기타제2종근생,119450,1,128.8736201,35.26164223
14999,기타창고시설,125080,1,128.9437705,35.24786906
3999,기타제1종근생,120134,1,128.7543357,35.25268916
4402,사무소,177978,1,128.9948081,35.2440826
4999,기타제2종근생,127431,1,128.8548566,35.26804336
4001,일반음식점,152478,1,128.8953051,35.23302647
4001,일반음식점,190998,1,128.8261089,35.20924953
14001,창고,191018,1,128.8474463,35.19896651
4001,일반음식점,191038,1,128.9068512,35.22586159
4402,사무소,191058,1,128.9074613,35.22572947
3002,휴게음식점,112126,1,128.9235595,35.21850951
13100,일반공장,113364,1,128.9832754,35.23125055
13100,일반공장,113365,1,128.9835104,35.23121258
3001,소매점,133138,1,128.944902,35.31927382
13100,일반공장,184978,1,128.7561906,35.31493802
13100,일반공장,184998,1,128.7556906,35.31492716
3001,소매점,113366,1,128.9832102,35.2314598
13100,일반공장,119972,1,128.883366,35.28983018
4402,사무소,119973,1,128.8831643,35.29048492
10204,사무소,119975,1,128.8829346,35.29033827
13100,일반공장,164298,1,128.8102844,35.21841478
3001,소매점,164338,1,128.9257697,35.22447047
4402,사무소,190498,1,128.7711825,35.29588413
14001,창고,115916,1,128.8563637,35.22247408
14001,창고,128318,1,128.9381892,35.22775986
14001,창고,128379,1,128.8231011,35.20019353
13100,일반공장,184999,1,128.7567375,35.31485095
14001,창고,156038,1,128.8435469,35.20898914
3999,기타제1종근생,143140,1,128.8267266,35.16663691
4006,수리점,113368,1,128.8785508,35.24132156
13100,일반공장,114305,1,128.8270946,35.22246251
13100,일반공장,114306,1,128.8276663,35.22268704
13100,일반공장,114307,1,128.8272975,35.22212403
13100,일반공장,114308,1,128.8278626,35.22234495
13100,일반공장,114309,1,128.8274956,35.22179875
3001,소매점,114302,1,128.8515987,35.17737997
13100,일반공장,190518,1,128.8346584,35.21485007
13100,일반공장,125084,1,128.7684965,35.27189092
13100,일반공장,125085,1,128.7679559,35.27218879
13100,일반공장,125083,1,128.7683409,35.27212185
13100,일반공장,115757,1,128.7660265,35.27022489
13100,일반공장,115758,1,128.7654116,35.26956287
13100,일반공장,114310,1,128.8277607,35.2217639
13100,일반공장,114311,1,128.828046,35.22201419
13100,일반공장,145918,1,128.9210932,35.22718251
4402,사무소,145938,1,128.8472771,35.19991415
3001,소매점,159680,1,128.7325883,35.30618781
4999,기타제2종근생,112107,1,128.7962384,35.19659585
4402,사무소,176838,1,128.9992204,35.2553911
13100,일반공장,148278,1,128.7698292,35.26016801
13100,일반공장,148298,1,128.7699376,35.25976454
13100,일반공장,148318,1,128.7700604,35.25986997
14001,창고,148398,1,128.8095708,35.32722259
4001,일반음식점,171278,1,128.8313059,35.27667331
3999,기타제1종근생,121878,1,128.8105266,35.1778504
3999,기타제1종근생,121879,1,128.8122961,35.17824762
13100,일반공장,116265,1,128.7937377,35.30650367
13100,일반공장,116266,1,128.7936376,35.30626032
13100,일반공장,116267,1,128.7942789,35.30631227
13100,일반공장,117684,1,128.7790692,35.25196924
13100,일반공장,117683,1,128.778706,35.2519275
4005,제조업소,190718,1,128.937869,35.32610379
14001,창고,121798,1,128.8338115,35.21625467
13100,일반공장,114304,1,128.8113338,35.24070034
3001,소매점,118874,1,128.8094378,35.17037135
14999,기타창고시설,165358,1,128.7358728,35.23219088
14999,기타창고시설,165378,1,128.7077967,35.2853691
14999,기타창고시설,165398,1,128.709011,35.28278454
4402,사무소,165418,1,128.8866239,35.27835276
13100,일반공장,123738,1,128.7997345,35.29168334
13100,일반공장,119488,1,128.8429616,35.27120687
13100,일반공장,119047,1,128.7812848,35.25093877
14001,창고,154938,1,128.7949298,35.26721196
13100,일반공장,121700,1,128.823931,35.27945164
14999,기타창고시설,116733,1,128.7660677,35.26826743
14999,기타창고시설,116734,1,128.7662825,35.26766177
14999,기타창고시설,116735,1,128.7666174,35.26824629
14001,창고,154978,1,128.7795539,35.33567998
13100,일반공장,121727,1,128.7740535,35.26438187
13100,일반공장,121728,1,128.7747336,35.26461842
3001,소매점,155038,1,128.9844099,35.23634479
13100,일반공장,121729,1,128.7751453,35.26420093
3001,소매점,155058,1,128.9844034,35.23626078
3001,소매점,155078,1,128.9843961,35.23617685
14001,창고,126058,1,128.9035529,35.31568154
4005,제조업소,126059,1,128.9024872,35.30260601
4999,기타제2종근생,133100,1,128.8012505,35.19093106
4005,제조업소,159918,1,128.7936831,35.30457887
4005,제조업소,159919,1,128.7939338,35.30458977
4999,기타제2종근생,115156,1,128.8662938,35.32370506
13100,일반공장,119661,1,128.7795634,35.25253877
3001,소매점,119662,1,128.9030161,35.22613673
13100,일반공장,159398,1,128.8000447,35.2895341
13100,일반공장,159399,1,128.8005001,35.28953929
3001,소매점,159400,1,128.982789,35.24949017
14001,창고,157218,1,128.785227,35.2274405
4999,기타제2종근생,164838,1,128.812313,35.17717437
13100,일반공장,189358,1,128.8293722,35.2724053
13100,일반공장,176998,1,128.8411358,35.20664493
13100,일반공장,177018,1,128.8410016,35.20677763
13100,일반공장,177038,1,128.8408698,35.20690983
14999,기타창고시설,120312,1,128.8838756,35.2447826
4005,제조업소,121703,1,128.8571278,35.27155177
13100,일반공장,191378,1,128.9997093,35.27233338
13100,일반공장,191398,1,128.9952796,35.27410051
13100,일반공장,191338,1,129.0005034,35.2722459
13100,일반공장,191358,1,129.0003009,35.27247078
13100,일반공장,191239,1,128.9999871,35.27781627
3001,소매점,190538,1,128.8395145,35.23668928
4005,제조업소,112212,1,128.8427377,35.27583705
13100,일반공장,133418,1,128.7778871,35.32665518
13100,일반공장,114333,1,128.8166719,35.23470747
13100,일반공장,114332,1,128.8164825,35.23485191
13100,일반공장,185018,1,128.7562925,35.31432405
14001,창고,115449,1,128.7695392,35.32978806
13100,일반공장,153899,1,128.7473682,35.31123829
13100,일반공장,153900,1,128.7470636,35.3110951
13100,일반공장,165019,1,128.7669317,35.27183853
4005,제조업소,122282,1,128.8064109,35.22783688
4001,일반음식점,113370,1,128.8842432,35.23992324
4002,휴게음식점,125938,1,128.813852,35.17096627
13100,일반공장,126464,1,128.9430911,35.29356026
13100,일반공장,126465,1,128.9431145,35.29348646
13100,일반공장,126466,1,128.9433902,35.29360733
11102,여관,112106,1,128.7993415,35.19344251
13100,일반공장,153618,1,128.8375234,35.22477163
13100,일반공장,153678,1,128.8367036,35.22518264
4005,제조업소,159418,1,128.8424963,35.27481244
13100,일반공장,119844,1,128.7551989,35.26936181
13100,일반공장,119845,1,128.7545954,35.26887147
13100,일반공장,119846,1,128.7553978,35.26869327
13100,일반공장,119847,1,128.7551993,35.26856115
13100,일반공장,119848,1,128.755453,35.26903479
3001,소매점,114312,1,128.8282014,35.23392948
4402,사무소,115257,1,128.8958205,35.30176839
13100,일반공장,133098,1,128.8779232,35.22349819
3999,기타제1종근생,157698,1,128.8128906,35.19779632
13100,일반공장,157701,1,128.8518093,35.20567597
3001,소매점,161258,1,128.8701917,35.25562091
13100,일반공장,119849,1,128.7556767,35.26895107
4402,사무소,118355,1,128.8527578,35.22219073
3001,소매점,190058,1,128.8333654,35.19837201
4402,사무소,189288,1,128.9111662,35.22510532
13100,일반공장,119999,1,128.7706888,35.27156498
4402,사무소,120000,1,128.7704414,35.27179497
13100,일반공장,156898,1,128.7970004,35.29038452
13100,일반공장,115643,1,128.8430862,35.33502968
13100,일반공장,115644,1,128.8426266,35.33497569
13100,일반공장,123363,1,128.8063919,35.23014115
14999,기타창고시설,164358,1,128.9250984,35.30536741
14999,기타창고시설,164359,1,128.9249679,35.30572305
14999,기타창고시설,164360,1,128.9256343,35.3055887
14999,기타창고시설,164361,1,128.9253995,35.30600831
13100,일반공장,164378,1,128.8385458,35.20629102
13100,일반공장,119439,1,128.9050634,35.31530737
4005,제조업소,119440,1,128.7215483,35.31904263
13100,일반공장,167338,1,128.7817096,35.24168986
13100,일반공장,167358,1,128.7819451,35.24153427
13100,일반공장,167378,1,128.7820818,35.24140636
13100,일반공장,167398,1,128.7820098,35.24173081
5403,체육관,113377,1,128.8097288,35.17548041
4002,휴게음식점,163178,1,128.8380677,35.2039192
13100,일반공장,172998,1,128.8085325,35.23648021
13100,일반공장,172999,1,128.8082423,35.23614453
4402,사무소,118023,1,128.807859,35.29636039
4499,기타사무소,123369,1,128.8697685,35.21937048
4002,휴게음식점,164998,1,128.801474,35.19047234
4999,기타제2종근생,165038,1,128.8384499,35.23120745
4402,사무소,122082,1,128.8433238,35.23142893
13100,일반공장,121085,1,128.808763,35.29036978
13100,일반공장,121086,1,128.8089972,35.29039329
13100,일반공장,140118,1,128.9382357,35.31842301
14001,창고,140138,1,128.9304248,35.30736926
14001,창고,140158,1,128.8358147,35.22098043
13100,일반공장,188338,1,129.0032097,35.27539682
13100,일반공장,188339,1,129.0032208,35.27515478
13100,일반공장,176219,1,128.9104991,35.2241861
4402,사무소,178538,1,128.9088133,35.22640306
13100,일반공장,153698,1,128.8367432,35.22500565
3001,소매점,178798,1,128.8152301,35.19570907
13100,일반공장,178441,1,128.7695046,35.23329837
4001,일반음식점,189598,1,128.9811108,35.26161206
4001,일반음식점,189618,1,128.9810704,35.26184772
4402,사무소,156918,1,128.79824,35.28931477
13100,일반공장,134498,1,128.815693,35.22571297
13100,일반공장,134358,1,128.7546134,35.31855911
13100,일반공장,134359,1,128.7546172,35.31832889
13100,일반공장,119358,1,128.8429569,35.32004296
13100,일반공장,119359,1,128.8427777,35.31985384
3001,소매점,163179,1,128.8377965,35.20419378
3001,소매점,115932,1,128.737485,35.30780684
14001,창고,114316,1,128.9659223,35.31293021
3001,소매점,114317,1,128.7466978,35.31129549
13100,일반공장,116891,1,128.7727492,35.27907108
13100,일반공장,116892,1,128.7731305,35.27894206
